data,spx_pe,ibov_valuation_idx
2013-01-28,17.261967,
2013-01-29,17.350107,
2013-01-30,17.282448,
2013-01-31,17.238148,
2013-02-01,17.332328,
2013-02-04,17.132335,
2013-02-05,17.310794,
2013-02-06,17.320301,
2013-02-07,17.289031,
2013-02-08,17.386851,
2013-02-11,17.376313,
2013-02-12,17.404033,
2013-02-13,17.41434,
2013-02-14,17.426368,
2013-02-15,17.408156,
2013-02-19,17.53587,
2013-02-20,17.318353,
2013-02-21,17.209195,
2013-02-22,17.360162,
2013-02-25,17.042304,
2013-02-26,17.146424,
2013-02-27,17.364629,
2013-02-28,17.349625,
2013-03-01,17.311288,
2013-03-04,17.391105,
2013-03-05,17.557469,
2013-03-06,17.57651,
2013-03-07,17.608438,
2013-03-08,17.687344,
2013-03-11,17.744812,
2013-03-12,17.702166,
2013-03-13,17.725428,
2013-03-14,17.824743,
2013-03-15,17.795895,
2013-03-18,17.697833,
2013-03-19,17.65496,
2013-03-20,17.773204,
2013-03-21,17.625998,
2013-03-22,17.752452,
2013-03-25,17.693158,
2013-03-26,17.830901,
2013-03-27,17.82041,
2013-03-28,17.892702,
2013-04-01,17.595307,
2013-04-02,17.686315,
2013-04-03,17.499793,
2013-04-04,17.57064,
2013-04-05,17.495176,
2013-04-08,17.605443,
2013-04-09,17.667843,
2013-04-10,17.883199,
2013-04-11,17.946724,
2013-04-12,17.895814,
2013-04-15,17.484813,
2013-04-16,17.734972,
2013-04-17,17.480871,
2013-04-18,17.363732,
2013-04-19,17.517364,
2013-04-22,17.599024,
2013-04-23,17.782392,
2013-04-24,17.782505,
2013-04-25,17.854252,
2013-04-26,17.821363,
2013-04-29,17.949427,
2013-04-30,17.99403,
2013-05-01,17.611646,
2013-05-02,17.777336,
2013-05-03,17.964615,
2013-05-06,17.998887,
2013-05-07,18.093026,
2013-05-08,18.167915,
2013-05-09,18.100928,
2013-05-10,18.179154,
2013-05-13,18.179933,
2013-05-14,18.364317,
2013-05-15,18.458235,
2013-05-16,18.365764,
2013-05-17,18.554933,
2013-05-20,18.541803,
2013-05-21,18.573739,
2013-05-22,18.420066,
2013-05-23,18.366209,
2013-05-24,18.356083,
2013-05-28,18.472478,
2013-05-29,18.342285,
2013-05-30,18.409607,
2013-05-31,18.146217,
2013-06-03,18.036504,
2013-06-04,17.937108,
2013-06-05,17.68994,
2013-06-06,17.840133,
2013-06-07,18.069049,
2013-06-10,18.062782,
2013-06-11,17.879384,
2013-06-12,17.729742,
2013-06-13,17.991864,
2013-06-14,17.885981,
2013-06-17,18.021331,
2013-06-18,18.161738,
2013-06-19,17.910171,
2013-06-20,17.462231,
2013-06-21,17.508852,
2013-06-24,17.296206,
2013-06-25,17.460473,
2013-06-26,17.627928,
2013-06-27,17.737218,
2013-06-28,17.661133,
2013-07-01,17.536757,
2013-07-02,17.527201,
2013-07-03,17.541644,
2013-07-05,17.7206,
2013-07-08,17.81366,
2013-07-09,17.942447,
2013-07-10,17.945705,
2013-07-11,18.188946,
2013-07-12,18.245086,
2013-07-15,18.27017,
2013-07-16,18.202411,
2013-07-17,18.252905,
2013-07-18,18.344771,
2013-07-19,18.374307,
2013-07-22,18.411663,
2013-07-23,18.377566,
2013-07-24,18.307525,
2013-07-25,18.354327,
2013-07-26,18.36953,
2013-07-29,18.300901,
2013-07-30,18.307742,
2013-07-31,18.305245,
2013-08-01,18.308163,
2013-08-02,18.338196,
2013-08-05,18.311059,
2013-08-06,18.206264,
2013-08-07,18.136973,
2013-08-08,18.207444,
2013-08-09,18.142444,
2013-08-12,18.121527,
2013-08-13,18.171833,
2013-08-14,18.077765,
2013-08-15,17.819585,
2013-08-16,17.760699,
2013-08-19,17.655905,
2013-08-20,17.723372,
2013-08-21,17.620938,
2013-08-22,17.772819,
2013-08-23,17.842969,
2013-08-26,17.77089,
2013-08-27,17.488791,
2013-08-28,17.536844,
2013-08-29,17.571276,
2013-08-30,17.515499,
2013-09-03,17.375967,
2013-09-04,17.517007,
2013-09-05,17.5382,
2013-09-06,17.539155,
2013-09-09,17.714422,
2013-09-10,17.844548,
2013-09-11,17.899015,
2013-09-12,17.838508,
2013-09-13,17.886934,
2013-09-16,17.988767,
2013-09-17,18.064639,
2013-09-18,18.284625,
2013-09-19,18.250927,
2013-09-20,18.119212,
2013-09-23,18.033697,
2013-09-24,17.986861,
2013-09-25,17.937586,
2013-09-26,18.000106,
2013-09-27,17.926778,
2013-09-30,17.818693,
2013-10-01,17.598809,
2013-10-02,17.587077,
2013-10-03,17.429155,
